,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Births and Fertility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Births, Crude Birth Rate (CBR), Total Fertility Rate (TFR) and Reproduction Rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Births And Fertility Rates, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 27/05/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: SINGAPORE DEPARTMENT OF STATISTICS, IMMIGRATION AND CHECKPOINTS AUTHORITY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
Total Fertility Rate (TFR) (Per Female),0.97,0.97,1.04,1.12,1.1,1.14,1.14,1.16,1.2,1.24,1.25,1.19,1.29,1.2,1.15,1.22,1.28,1.29,1.28,1.26,1.26,1.27,1.37,1.41,1.6,1.47,1.48,1.61,1.66,1.67,1.71,1.74,1.72,1.73,1.83,1.75,1.96,1.62,1.43,1.61,1.62,1.61,1.74,1.78,1.82,1.79,1.79,1.82,2.11,2.07,2.35,2.79,3.04,3.02,3.07,3.22,3.53,3.91,4.46,4.66,4.97,5.16,5.21,5.41,5.76
  15 - 19 Years (Per Thousand Females),2.3,2.2,2.1,2.2,2.3,2.5,2.5,2.6,2.7,2.7,3.3,3.8,4.3,4.7,4.8,5,6.1,6.1,6.6,7.2,6.6,6.7,8,8.4,8.8,8.4,7.5,6.8,6.8,6.6,7.4,8.3,7.9,8.4,8.3,7.2,7.3,7.7,8.6,9.6,10.3,10.4,11.4,11.8,12.7,11.4,11.8,13.4,16.2,16.8,20.8,24.2,25.3,25.6,25.9,27.1,30.9,35.8,33,35.9,38.3,45.7,52,63.4,69.6
  20 - 24 Years (Per Thousand Females),9.8,10.6,11.2,11.7,12.7,12.7,14.4,15.1,17,18.7,19.5,19.7,22.2,22.4,23.3,25.4,29.1,31.2,30.6,32.5,32.2,32.4,34.6,35.7,42.2,37.3,39.7,42,44.8,46.9,46.9,49.8,52.1,53.5,58.7,59.7,65,59.7,60.4,68,68.6,72.4,80.2,84.2,84.9,85.1,86.8,90.3,107.2,102.1,118.9,130.5,137.4,138.3,139,150.1,165.8,195.8,218.5,227.1,240,249,245.5,241.1,250.5
  25 - 29 Years (Per Thousand Females),42.6,43.7,48.8,53.4,54.6,59.4,60.6,62.2,65.8,68.7,71.1,70.5,76.7,73.4,68.1,74.2,78.9,78.7,79.6,80.7,80.6,82.2,91.6,96.2,110.1,105.1,105.2,116.9,122.8,125.6,129.2,130,128.4,129.2,136,129.7,147.5,124.8,110.1,123.9,124.2,125.5,136.4,141.2,144.5,139.3,140.9,138.9,160.2,154.5,172.2,199.5,218,212.6,208.8,227.8,236.6,244.7,261.2,259.5,277.6,287.2,291.7,304.9,323.9
  30 - 34 Years (Per Thousand Females),79.3,78.7,86.7,92.9,90.8,92.4,92.9,93.3,96.2,98.5,99.3,90.2,99.5,89.5,86,90.1,94.6,94.4,93.1,89.2,89.9,90,96.2,94.9,107.9,97.5,96.1,107.3,108.5,107.4,109.2,108.8,107.2,106.8,110.8,104.5,118.9,92.5,74.4,85.6,83,79.9,84.5,84.2,87.8,88.4,86.8,85.2,95.9,94.9,102.9,128.4,139.2,137.6,138,134.3,152,166.7,202,216.2,226.7,228.7,231.5,238.4,259.7
  35 - 39 Years (Per Thousand Females),50,47.9,49.4,53.6,49,50.1,48.4,48.6,49.7,49.9,48.3,44.7,46.3,42.4,42.2,42.6,41.5,41.5,38.7,36.8,35.6,36.3,38.2,39.5,43.3,38.6,39.8,41.7,42.6,41.3,42.6,43.6,41.7,41.7,44.3,42.1,44.9,33.5,28.4,31.1,32.1,29.5,31,29.3,28,27.5,26.7,28.7,33.8,36.3,42.6,57.6,66.1,68.5,74.5,75.2,85.2,95.9,124.8,138.1,147.7,156.1,156.2,168.9,176.7
  40 - 44 Years (Per Thousand Females),10.2,9.6,9.8,10.2,9.5,9.9,8.8,9,8.8,8.9,8.3,8,8,7.2,6.1,7,6.6,6.4,6.4,6.2,6.3,6.1,5.8,6.8,7.6,6.4,6.6,7,7,6.5,6.7,7.2,6.7,6.5,7.4,7.6,7.4,5.9,4.7,4.5,4.9,3.9,4.9,5.5,5.8,5.5,5.3,6.9,8.1,10,12.7,17.4,20.9,21.9,26.7,29.4,35.3,42.9,51.7,54.9,62.8,64.9,65.1,64.8,70.7
  45 - 49 Years (Per Thousand Females),0.7,0.6,0.4,0.3,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Chinese (Per Female),0.83,0.81,0.87,0.96,0.94,0.99,0.98,1.01,1.07,1.1,1.13,1.05,1.18,1.08,1.02,1.08,1.14,1.14,1.11,1.1,1.09,1.09,1.19,1.21,1.43,1.29,1.27,1.44,1.5,1.51,1.54,1.55,1.53,1.54,1.65,1.56,1.84,1.46,1.25,1.46,1.46,1.47,1.62,1.67,1.73,1.77,1.78,1.81,2.15,2.06,2.33,2.79,3,2.98,3,3.05,3.29,3.59,4.08,4.31,4.6,4.83,4.92,5.2,5.62
  Malays (Per Female),1.58,1.65,1.83,1.82,1.82,1.8,1.85,1.82,1.8,1.79,1.73,1.66,1.69,1.64,1.65,1.82,1.91,1.94,2.02,2.03,2.07,2.1,2.3,2.45,2.54,2.41,2.48,2.47,2.52,2.51,2.54,2.62,2.61,2.63,2.69,2.62,2.51,2.34,2.22,2.28,2.27,2.21,2.27,2.25,2.2,1.84,1.83,1.87,1.93,2.12,2.46,2.88,3.26,3.25,3.45,3.78,4.52,5.29,6.14,6.31,6.78,6.75,6.63,6.42,6.42
