year,sex,marital_status,age,labour_force
1991,male,single,15-19,36700
1991,male,single,20-24,94000
1991,male,single,25-29,88400
1991,male,single,30-34,46000
1991,male,single,35-39,20300
1991,male,single,40-44,9200
1991,male,single,45-49,3900
1991,male,single,50-54,3700
1991,male,single,55-59,2200
1991,male,single,60-64,1000
1991,male,single,65-69,500
1991,male,single,70_and_over,200
1991,male,married,15-19,200
1991,male,married,20-24,5300
1991,male,married,25-29,45600
1991,male,married,30-34,96100
1991,male,married,35-39,108400
1991,male,married,40-44,98600
1991,male,married,45-49,58200
1991,male,married,50-54,57500
1991,male,married,55-59,34000
1991,male,married,60-64,18600
1991,male,married,65-69,7200
1991,male,married,70_and_over,4700
1991,male,widowed_divorced,15-19,-
1991,male,widowed_divorced,20-24,100
1991,male,widowed_divorced,25-29,500
1991,male,widowed_divorced,30-34,1200
1991,male,widowed_divorced,35-39,2200
1991,male,widowed_divorced,40-44,2500
1991,male,widowed_divorced,45-49,1900
1991,male,widowed_divorced,50-54,2000
1991,male,widowed_divorced,55-59,2000
1991,male,widowed_divorced,60-64,1800
1991,male,widowed_divorced,65-69,800
1991,male,widowed_divorced,70_and_over,800
1991,female,single,15-19,29400
1991,female,single,20-24,78100
1991,female,single,25-29,51800
1991,female,single,30-34,27300
1991,female,single,35-39,16200
1991,female,single,40-44,10900
1991,female,single,45-49,4100
1991,female,single,50-54,2300
1991,female,single,55-59,1200
1991,female,single,60-64,500
1991,female,single,65-69,200
1991,female,single,70_and_over,200
1991,female,married,15-19,700
1991,female,married,20-24,13800
1991,female,married,25-29,46900
1991,female,married,30-34,55500
1991,female,married,35-39,50700
1991,female,married,40-44,44200
1991,female,married,45-49,24500
1991,female,married,50-54,16300
1991,female,married,55-59,6600
1991,female,married,60-64,2300
1991,female,married,65-69,700
1991,female,married,70_and_over,400
1991,female,widowed_divorced,15-19,-
1991,female,widowed_divorced,20-24,300
1991,female,widowed_divorced,25-29,1200
1991,female,widowed_divorced,30-34,3300
1991,female,widowed_divorced,35-39,3800
1991,female,widowed_divorced,40-44,6600
1991,female,widowed_divorced,45-49,4300
1991,female,widowed_divorced,50-54,4400
1991,female,widowed_divorced,55-59,3300
1991,female,widowed_divorced,60-64,2700
1991,female,widowed_divorced,65-69,1000
1991,female,widowed_divorced,70_and_over,1000
1992,male,single,15-19,33900
1992,male,single,20-24,93000
1992,male,single,25-29,87800
1992,male,single,30-34,50000
1992,male,single,35-39,22200
1992,male,single,40-44,10600
1992,male,single,45-49,5100
1992,male,single,50-54,3600
1992,male,single,55-59,2000
1992,male,single,60-64,1500
1992,male,single,65-69,900
1992,male,single,70_and_over,400
1992,male,married,15-19,200
1992,male,married,20-24,5300
1992,male,married,25-29,44400
1992,male,married,30-34,95600
1992,male,married,35-39,105700
1992,male,married,40-44,100200
1992,male,married,45-49,66900
1992,male,married,50-54,58000
1992,male,married,55-59,34700
1992,male,married,60-64,19400
1992,male,married,65-69,8800
1992,male,married,70_and_over,5000
1992,male,widowed_divorced,15-19,-
1992,male,widowed_divorced,20-24,100
1992,male,widowed_divorced,25-29,500
1992,male,widowed_divorced,30-34,1300
1992,male,widowed_divorced,35-39,2300
1992,male,widowed_divorced,40-44,2700
1992,male,widowed_divorced,45-49,1700
1992,male,widowed_divorced,50-54,2000
1992,male,widowed_divorced,55-59,2000
1992,male,widowed_divorced,60-64,1600
