year,sex,marital_status,age,outside_labour_force
1991,male,single,15-19,86000
1991,male,single,20-24,21500
1991,male,single,25-29,4200
1991,male,single,30-34,1400
1991,male,single,35-39,800
1991,male,single,40-44,800
1991,male,single,45-49,400
1991,male,single,50-54,600
1991,male,single,55-59,800
1991,male,single,60-64,700
1991,male,single,65-69,600
1991,male,single,70_and_over,1000
1991,male,married,15-19,100
1991,male,married,20-24,-
1991,male,married,25-29,100
1991,male,married,30-34,300
1991,male,married,35-39,400
1991,male,married,40-44,800
1991,male,married,45-49,1900
1991,male,married,50-54,4100
1991,male,married,55-59,14000
1991,male,married,60-64,21300
1991,male,married,65-69,16900
1991,male,married,70_and_over,27300
1991,male,widowed_divorced,15-19,-
1991,male,widowed_divorced,20-24,-
1991,male,widowed_divorced,25-29,-
1991,male,widowed_divorced,30-34,100
1991,male,widowed_divorced,35-39,100
1991,male,widowed_divorced,40-44,100
1991,male,widowed_divorced,45-49,100
1991,male,widowed_divorced,50-54,400
1991,male,widowed_divorced,55-59,1000
1991,male,widowed_divorced,60-64,2200
1991,male,widowed_divorced,65-69,2500
1991,male,widowed_divorced,70_and_over,9000
1991,female,single,15-19,81000
1991,female,single,20-24,16200
1991,female,single,25-29,3700
1991,female,single,30-34,2400
1991,female,single,35-39,1600
1991,female,single,40-44,1800
1991,female,single,45-49,1000
1991,female,single,50-54,1000
1991,female,single,55-59,1100
1991,female,single,60-64,1100
1991,female,single,65-69,500
1991,female,single,70_and_over,1500
1991,female,married,15-19,700
1991,female,married,20-24,7100
1991,female,married,25-29,32400
1991,female,married,30-34,54700
1991,female,married,35-39,54800
1991,female,married,40-44,49600
1991,female,married,45-49,35100
1991,female,married,50-54,37700
1991,female,married,55-59,31600
1991,female,married,60-64,23700
1991,female,married,65-69,14400
1991,female,married,70_and_over,14000
1991,female,widowed_divorced,15-19,-
1991,female,widowed_divorced,20-24,-
1991,female,widowed_divorced,25-29,200
1991,female,widowed_divorced,30-34,300
1991,female,widowed_divorced,35-39,700
1991,female,widowed_divorced,40-44,1600
1991,female,widowed_divorced,45-49,2300
1991,female,widowed_divorced,50-54,6400
1991,female,widowed_divorced,55-59,9200
1991,female,widowed_divorced,60-64,13800
1991,female,widowed_divorced,65-69,14300
1991,female,widowed_divorced,70_and_over,41800
