"year","age_band","fertility_rate","uom","marital_status","labour_status","count"
2020,"All",1.1,"per female","married","labour_force",404.2
2020,"All",1.1,"per female","married","outside_labour_force",100.2
2020,"All",1.1,"per female","single","labour_force",284.1
2020,"All",1.1,"per female","single","outside_labour_force",158.6
2020,"All",1.1,"per female","widowed_divorced","labour_force",37.9
2020,"All",1.1,"per female","widowed_divorced","outside_labour_force",3.2
2019,"All",1.14,"per female","married","labour_force",416.5
2019,"All",1.14,"per female","married","outside_labour_force",106.2
2019,"All",1.14,"per female","single","labour_force",275.5
2019,"All",1.14,"per female","single","outside_labour_force",154.5
2019,"All",1.14,"per female","widowed_divorced","labour_force",38.1
2019,"All",1.14,"per female","widowed_divorced","outside_labour_force",3.3
2018,"All",1.14,"per female","married","labour_force",408.8
2018,"All",1.14,"per female","married","outside_labour_force",114.8
2018,"All",1.14,"per female","single","labour_force",267.8
2018,"All",1.14,"per female","single","outside_labour_force",162.5
2018,"All",1.14,"per female","widowed_divorced","labour_force",38.9
2018,"All",1.14,"per female","widowed_divorced","outside_labour_force",3.3
2017,"All",1.16,"per female","married","labour_force",416.9
2017,"All",1.16,"per female","married","outside_labour_force",115.3
2017,"All",1.16,"per female","single","labour_force",263
2017,"All",1.16,"per female","single","outside_labour_force",162.9
2017,"All",1.16,"per female","widowed_divorced","labour_force",32.1
2017,"All",1.16,"per female","widowed_divorced","outside_labour_force",3.2
2016,"All",1.2,"per female","married","labour_force",407.4
2016,"All",1.2,"per female","married","outside_labour_force",113.7
2016,"All",1.2,"per female","single","labour_force",269.7
2016,"All",1.2,"per female","single","outside_labour_force",164.4
2016,"All",1.2,"per female","widowed_divorced","labour_force",32.5
2016,"All",1.2,"per female","widowed_divorced","outside_labour_force",2.9
2015,"All",1.24,"per female","married","labour_force",398.4
2015,"All",1.24,"per female","married","outside_labour_force",123
2015,"All",1.24,"per female","single","labour_force",269.5
2015,"All",1.24,"per female","single","outside_labour_force",159.4
2015,"All",1.24,"per female","widowed_divorced","labour_force",37.6
2015,"All",1.24,"per female","widowed_divorced","outside_labour_force",3
2014,"All",1.25,"per female","married","labour_force",384.1
2014,"All",1.25,"per female","married","outside_labour_force",125.9
2014,"All",1.25,"per female","single","labour_force",262.5
2014,"All",1.25,"per female","single","outside_labour_force",173.4
2014,"All",1.25,"per female","widowed_divorced","labour_force",31
2014,"All",1.25,"per female","widowed_divorced","outside_labour_force",3.5
2013,"All",1.19,"per female","married","labour_force",392.1
2013,"All",1.19,"per female","married","outside_labour_force",138.3
2013,"All",1.19,"per female","single","labour_force",255.2
2013,"All",1.19,"per female","single","outside_labour_force",174.4
2013,"All",1.19,"per female","widowed_divorced","labour_force",32.1
2013,"All",1.19,"per female","widowed_divorced","outside_labour_force",3.6
2012,"All",1.29,"per female","married","labour_force",397
2012,"All",1.29,"per female","married","outside_labour_force",144.1
2012,"All",1.29,"per female","single","labour_force",253.5
2012,"All",1.29,"per female","single","outside_labour_force",176.3
2012,"All",1.29,"per female","widowed_divorced","labour_force",35.7
2012,"All",1.29,"per female","widowed_divorced","outside_labour_force",3.9
2011,"All",1.2,"per female","married","labour_force",392.1
2011,"All",1.2,"per female","married","outside_labour_force",153.1
2011,"All",1.2,"per female","single","labour_force",250.8
2011,"All",1.2,"per female","single","outside_labour_force",176.6
2011,"All",1.2,"per female","widowed_divorced","labour_force",34.5
2011,"All",1.2,"per female","widowed_divorced","outside_labour_force",4.6
2010,"All",1.15,"per female","married","labour_force",394.6
2010,"All",1.15,"per female","married","outside_labour_force",168.3
2010,"All",1.15,"per female","single","labour_force",247.6
2010,"All",1.15,"per female","single","outside_labour_force",161.3
2010,"All",1.15,"per female","widowed_divorced","labour_force",32.8
2010,"All",1.15,"per female","widowed_divorced","outside_labour_force",4.1
2009,"All",1.22,"per female","married","labour_force",390.3
2009,"All",1.22,"per female","married","outside_labour_force",173.6
2009,"All",1.22,"per female","single","labour_force",233.7
2009,"All",1.22,"per female","single","outside_labour_force",169.2
2009,"All",1.22,"per female","widowed_divorced","labour_force",34.2
2009,"All",1.22,"per female","widowed_divorced","outside_labour_force",4
2008,"All",1.28,"per female","married","labour_force",386.4
2008,"All",1.28,"per female","married","outside_labour_force",173
2008,"All",1.28,"per female","single","labour_force",230.2
2008,"All",1.28,"per female","single","outside_labour_force",156.5
2008,"All",1.28,"per female","widowed_divorced","labour_force",31.5
2008,"All",1.28,"per female","widowed_divorced","outside_labour_force",5.1
2007,"All",1.29,"per female","married","labour_force",371.7
2007,"All",1.29,"per female","married","outside_labour_force",183.8
2007,"All",1.29,"per female","single","labour_force",224.7
2007,"All",1.29,"per female","single","outside_labour_force",155
2007,"All",1.29,"per female","widowed_divorced","labour_force",30.1
2007,"All",1.29,"per female","widowed_divorced","outside_labour_force",3.4
2006,"All",1.28,"per female","married","labour_force",371.9
2006,"All",1.28,"per female","married","outside_labour_force",195.6
